source_path	file name	resolution	dwi count(b0/dwi)	max b-value	DWI contrast	neighboring DWI correlation	neighboring DWI correlation(masked)
data-others/disease/oasis3	sub-OAS30405_ses-d1883_run-02_dwi.sz	2 2 2 	2/24	1400.000000	0.879659	0.889210	0.583305
data-others/disease/oasis3	sub-OAS30406_ses-d0084_dwi.sz	1.97917 1.97917 2 	2/24	1000.000000	0.955444	0.911618	0.761661
data-others/disease/oasis3	sub-OAS30407_ses-d0061_dwi.sz	2 2 2 	2/48	1400.000000	0.979055	0.920277	0.638429
data-others/disease/oasis3	sub-OAS30407_ses-d1267_dwi.sz	2 2 2 	4/44	1400.000000	0.958635	0.836040	0.683717
data-others/disease/oasis3	sub-OAS30410_ses-d0034_run-01_dwi.sz	2.5 2.5 2.5 	1/64	1000.000000	1.181638	0.990972	0.935752
data-others/disease/oasis3	sub-OAS30410_ses-d0034_run-02_dwi.sz	2 2 2 	2/24	1400.000000	0.851331	0.881135	0.557100
data-others/disease/oasis3	sub-OAS30411_ses-d3011_dwi.sz	2 2 2 	4/44	1400.000000	0.938689	0.842343	0.659203
data-others/disease/oasis3	sub-OAS30411_ses-d3025_run-01_dwi.sz	2.5 2.5 2.5 	1/64	1000.000000	1.217379	0.989475	0.910164
data-others/disease/oasis3	sub-OAS30411_ses-d3025_run-02_dwi.sz	2 2 2 	2/24	1400.000000	0.868622	0.859789	0.489935
data-others/disease/oasis3	sub-OAS30411_ses-d5564_dwi.sz	2 2 2 	3/66	2000.000000	0.979919	0.948582	0.706813
data-others/disease/oasis3	sub-OAS30413_ses-d1533_dwi.sz	2 2 2 	4/46	1400.000000	0.917948	0.860061	0.632143
data-others/disease/oasis3	sub-OAS30414_ses-d0363_run-01_dwi.sz	2.5 2.5 2.5 	1/64	1000.000000	1.183687	0.988847	0.926433
data-others/disease/oasis3	sub-OAS30414_ses-d0363_run-02_dwi.sz	2 2 2 	2/24	1400.000000	0.872657	0.864953	0.553728
data-others/disease/oasis3	sub-OAS30414_ses-d1175_dwi.sz	2 2 2 	4/44	1400.000000	0.913235	0.773801	0.494769
data-others/disease/oasis3	sub-OAS30415_ses-d0784_dwi.sz	2 2 2 	4/44	1400.000000	0.918899	0.833170	0.629215
data-others/disease/oasis3	sub-OAS30416_ses-d0044_dwi.sz	2 2 2 	4/44	1400.000000	0.918144	0.845124	0.626060
data-others/disease/oasis3	sub-OAS30417_ses-d0093_dwi.sz	2 2 2 	4/44	1400.000000	0.919575	0.807179	0.562817
data-others/disease/oasis3	sub-OAS30418_ses-d0069_dwi.sz	1.97917 1.97917 2 	2/24	1000.000000	0.971403	0.907979	0.757936
data-others/disease/oasis3	sub-OAS30418_ses-d0803_dwi.sz	2 2 2 	4/44	1400.000000	0.947850	0.839816	0.663452
data-others/disease/oasis3	sub-OAS30419_ses-d1139_dwi.sz	1.97917 1.97917 2 	2/24	1000.000000	0.955753	0.932175	0.768627
data-others/disease/oasis3	sub-OAS30419_ses-d2360_dwi.sz	2 2 2 	4/44	1400.000000	0.945120	0.887435	0.710010
data-others/disease/oasis3	sub-OAS30419_ses-d3307_dwi.sz	2 2 2 	4/44	1400.000000	0.950964	0.882525	0.698971
data-others/disease/oasis3	sub-OAS30420_ses-d3746_dwi.sz	1.97917 1.97917 2 	2/24	1000.000000	0.954504	0.901112	0.729915
data-others/disease/oasis3	sub-OAS30421_ses-d2605_dwi.sz	1.97917 1.97917 2 	2/24	1000.000000	0.970827	0.875198	0.686494
data-others/disease/oasis3	sub-OAS30423_ses-d0067_dwi.sz	1.97917 1.97917 2 	2/24	1000.000000	0.971039	0.911698	0.737159
data-others/disease/oasis3	sub-OAS30423_ses-d1267_dwi.sz	2 2 2 	4/44	1400.000000	0.922689	0.833549	0.579556
data-others/disease/oasis3	sub-OAS30423_ses-d2099_run-01_dwi.sz	2.5 2.5 2.5 	1/64	1000.000000	1.239277	0.989703	0.921361
data-others/disease/oasis3	sub-OAS30423_ses-d2099_run-02_dwi.sz	2 2 2 	2/24	1400.000000	0.847999	0.867381	0.515639
data-others/disease/oasis3	sub-OAS30424_ses-d0095_dwi.sz	1.97917 1.97917 2 	2/24	1000.000000	0.998885	0.921593	0.801260
data-others/disease/oasis3	sub-OAS30427_ses-d4348_dwi.sz	2 2 2 	4/44	1400.000000	0.947191	0.872052	0.698981
data-others/disease/oasis3	sub-OAS30428_ses-d0133_dwi.sz	2 2 2 	2/22	1400.000000	0.909688	0.798622	0.674827
data-others/disease/oasis3	sub-OAS30429_ses-d0055_dwi.sz	2 2 2 	4/44	1400.000000	0.989420	0.855364	0.713070
data-others/disease/oasis3	sub-OAS30430_ses-d0909_dwi.sz	2 2 2 	4/44	1400.000000	0.937873	0.843193	0.662892
data-others/disease/oasis3	sub-OAS30431_ses-d0113_dwi.sz	2 2 2 	4/44	1400.000000	0.984655	0.876703	0.713200
data-others/disease/oasis3	sub-OAS30432_ses-d0100_dwi.sz	2 2 2 	4/44	1400.000000	0.932530	0.785698	0.442744
data-others/disease/oasis3	sub-OAS30432_ses-d2137_dwi.sz	2 2 2 	3/66	2000.000000	1.067712	0.970734	0.848814
